CB,CR,CD,CE,DM,DR,DD,DP,DDm,DE,EE,stablity
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.3071,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.665,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.644,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.102,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.56,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.363,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.5625,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.264,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.3611,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.3199,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.4469,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.3289,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.36199,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.369,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,1.106,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.2977,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.393,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.3071,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.665,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.644,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.102,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.56,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0.363,0
110.6,0.87,2.38,0.264,101.19,3.5,2.4,13.3,0.8999,0.3199,0,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.5625,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.264,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.3611,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.3199,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.4469,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.3289,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.36199,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.369,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,1.106,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.2977,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.393,0
110.6,0.87,2.38,0.264,92.14,3.1,2.38,12.32,0.375,0.264,0.3071,0
